code,browser,b&w,apple,andr,twit,wind,gmail,name,annotations
1f600,images/1f600_browser.png,images/1f600_bw.png,images/1f600_apple.png,images/1f600_andr.png,images/1f600_twit.png,images/1f600_wind.png,missing,grinning face,face;grin;person
1f601,images/1f601_browser.png,images/1f601_bw.png,images/1f601_apple.png,images/1f601_andr.png,images/1f601_twit.png,images/1f601_wind.png,images/1f601_gmail.png,grinning face with smiling eyes,eye;face;grin;person;smile
1f602,images/1f602_browser.png,images/1f602_bw.png,images/1f602_apple.png,images/1f602_andr.png,images/1f602_twit.png,images/1f602_wind.png,missing,face with tears of joy,face;joy;person;tear
1f603,images/1f603_browser.png,images/1f603_bw.png,images/1f603_apple.png,images/1f603_andr.png,images/1f603_twit.png,images/1f603_wind.png,images/1f603_gmail.png,smiling face with open mouth,face;mouth;open;person;smile
1f604,images/1f604_browser.png,images/1f604_bw.png,images/1f604_apple.png,images/1f604_andr.png,images/1f604_twit.png,images/1f604_wind.png,missing,smiling face with open mouth and smiling eyes,eye;face;mouth;open;person;smile
1f605,images/1f605_browser.png,images/1f605_bw.png,images/1f605_apple.png,images/1f605_andr.png,images/1f605_twit.png,images/1f605_wind.png,images/1f605_gmail.png,smiling face with open mouth and cold sweat,cold;face;open;person;smile;sweat
1f606,images/1f606_browser.png,images/1f606_bw.png,images/1f606_apple.png,images/1f606_andr.png,images/1f606_twit.png,images/1f606_wind.png,images/1f606_gmail.png,smiling face with open mouth and tightly-closed eyes,face;laugh;mouth;open;person;satisfied;smile
1f609,images/1f609_browser.png,images/1f609_bw.png,images/1f609_apple.png,images/1f609_andr.png,images/1f609_twit.png,images/1f609_wind.png,images/1f609_gmail.png,winking face,face;person;wink
1f60a,images/1f60a_browser.png,images/1f60a_bw.png,images/1f60a_apple.png,images/1f60a_andr.png,images/1f60a_twit.png,images/1f60a_wind.png,missing,smiling face with smiling eyes,blush;eye;face;person;smile
1f60b,images/1f60b_browser.png,images/1f60b_bw.png,images/1f60b_apple.png,images/1f60b_andr.png,images/1f60b_twit.png,images/1f60b_wind.png,images/1f60b_gmail.png,face savouring delicious food,delicious;face;food;person;savouring;smile;um;yum
1f60e,images/1f60e_browser.png,images/1f60e_bw.png,images/1f60e_apple.png,images/1f60e_andr.png,images/1f60e_twit.png,images/1f60e_wind.png,missing,smiling face with sunglasses,bright;cool;eye;eyewear;face;glasses;person;smile;sun;sunglasses;weather
1f60d,images/1f60d_browser.png,images/1f60d_bw.png,images/1f60d_apple.png,images/1f60d_andr.png,images/1f60d_twit.png,images/1f60d_wind.png,images/1f60d_gmail.png,smiling face with heart-shaped eyes,eye;face;heart;love;person;smile
1f618,images/1f618_browser.png,images/1f618_bw.png,images/1f618_apple.png,images/1f618_andr.png,images/1f618_twit.png,images/1f618_wind.png,missing,face throwing a kiss,face;heart;kiss;person
1f617,images/1f617_browser.png,images/1f617_bw.png,images/1f617_apple.png,images/1f617_andr.png,images/1f617_twit.png,missing,missing,kissing face,face;kiss;person
1f619,images/1f619_browser.png,images/1f619_bw.png,images/1f619_apple.png,images/1f619_andr.png,images/1f619_twit.png,missing,missing,kissing face with smiling eyes,eye;face;kiss;person;smile
1f61a,images/1f61a_browser.png,images/1f61a_bw.png,images/1f61a_apple.png,images/1f61a_andr.png,images/1f61a_twit.png,images/1f61a_wind.png,missing,kissing face with closed eyes,closed;eye;face;kiss;person
263a,images/263a_browser.png,images/263a_bw.png,images/263a_apple.png,images/263a_andr.png,images/263a_twit.png,images/263a_wind.png,missing,white smiling face,face;outlined;person;relaxed;smile
1f642,images/1f642_browser.png,images/1f642_bw.png,missing,missing,images/1f642_twit.png,images/1f642_wind.png,missing,slightly smiling face,face;person;smile
1f917,images/1f917_browser.png,images/1f917_bw.png,missing,missing,missing,missing,missing,hugging face,face;hug;hugging;person
1f607,images/1f607_browser.png,images/1f607_bw.png,images/1f607_apple.png,images/1f607_andr.png,images/1f607_twit.png,missing,missing,smiling face with halo,angel;face;fairy tale;fantasy;halo;innocent;person;smile
1f914,images/1f914_browser.png,images/1f914_bw.png,missing,missing,missing,missing,missing,thinking face,face;person;thinking
1f610,images/1f610_browser.png,images/1f610_bw.png,images/1f610_apple.png,images/1f610_andr.png,images/1f610_twit.png,missing,missing,neutral face,deadpan;face;neutral;person
1f611,images/1f611_browser.png,images/1f611_bw.png,images/1f611_apple.png,images/1f611_andr.png,images/1f611_twit.png,missing,missing,expressionless face,expressionless;face;inexpressive;person;unexpressive
1f636,images/1f636_browser.png,images/1f636_bw.png,images/1f636_apple.png,images/1f636_andr.png,images/1f636_twit.png,missing,missing,face without mouth,face;mouth;person;quiet;silent
1f644,images/1f644_browser.png,images/1f644_bw.png,missing,missing,missing,missing,missing,face with rolling eyes,eyes;face;person;rolling
1f60f,images/1f60f_browser.png,images/1f60f_bw.png,images/1f60f_apple.png,images/1f60f_andr.png,images/1f60f_twit.png,images/1f60f_wind.png,images/1f60f_gmail.png,smirking face,face;person;smirk
1f623,images/1f623_browser.png,images/1f623_bw.png,images/1f623_apple.png,images/1f623_andr.png,images/1f623_twit.png,images/1f623_wind.png,images/1f623_gmail.png,persevering face,face;persevere;person
1f625,images/1f625_browser.png,images/1f625_bw.png,images/1f625_apple.png,images/1f625_andr.png,images/1f625_twit.png,images/1f625_wind.png,missing,disappointed but relieved face,disappointed;face;person;relieved;whew
1f62e,images/1f62e_browser.png,images/1f62e_bw.png,images/1f62e_apple.png,images/1f62e_andr.png,images/1f62e_twit.png,missing,missing,face with open mouth,face;mouth;open;person;sympathy
1f910,images/1f910_browser.png,images/1f910_bw.png,missing,missing,missing,missing,missing,zipper-mouth face,face;mouth;person;zipper
1f62f,images/1f62f_browser.png,images/1f62f_bw.png,images/1f62f_apple.png,images/1f62f_andr.png,images/1f62f_twit.png,missing,missing,hushed face,face;hushed;person;stunned;surprised
1f62a,images/1f62a_browser.png,images/1f62a_bw.png,images/1f62a_apple.png,images/1f62a_andr.png,images/1f62a_twit.png,images/1f62a_wind.png,missing,sleepy face,face;person;sleep
1f62b,images/1f62b_browser.png,images/1f62b_bw.png,images/1f62b_apple.png,images/1f62b_andr.png,images/1f62b_twit.png,images/1f62b_wind.png,missing,tired face,face;person;tired
